municipio_ine	localidad	codigo_postal
01059	VITORIA-GASTEIZ	01001
01059	VITORIA-GASTEIZ	01002
01059	VITORIA-GASTEIZ	01003
01059	VITORIA-GASTEIZ	01004
01059	VITORIA-GASTEIZ	01005
01059	VITORIA-GASTEIZ	01006
01059	ARMENTIA	01007
01059	VITORIA-GASTEIZ	01007
01059	VITORIA-GASTEIZ	01008
01059	VITORIA-GASTEIZ	01009
01059	ALI	01010
01059	EHARI	01010
01059	VITORIA-GASTEIZ	01010
01059	VITORIA-GASTEIZ	01012
01059	ABETXUKO	01013
01059	ARRIAGA	01013
01059	BETOÑO	01013
01059	GAMARRA MAYOR	01013
01059	GAMARRA NAGUSIA	01013
01059	VITORIA-GASTEIZ	01013
01059	VITORIA-GASTEIZ	01015
01059	VITORIA-GASTEIZ	01071
01059	VITORIA-GASTEIZ	01080
01059	CENTRO MILITAR ARAKA	01100
01017	CAMPEZO	01110
01017	KANPEZU	01110
01017	SANTA CRUZ DE CAMPEZO	01110
01017	SANTIKURUTZE KANPEZU	01110
01056	ALDA	01117
01056	DONE BIKENDI HARANA	01117
01056	HARANA	01117
01056	KONTRASTA	01117
01017	ORBISO	01117
01017	OTEO	01117
01056	SAN VICENTE DE ARANA	01117
01056	ULLIBARRI-ARANA	01117
01056	URIBARRI-HARANA	01117
01056	VALLE DE ARANA	01117
01016	ANGOSTINA	01118
09109	BAJAURI	01118
01016	BERNEDO	01118
01030	LAGRAN	01118
01016	NAVARRETE	01118
09109	OBECURI	01118
01016	URTURI	01118
01016	VILLAFRIA	01118
01030	VILLAVERDE	01118
01037	ARRAIA-MAEZTU	01120
01037	MAEZTU/MAESTU	01120
01017	ANTOÑANA	01128
01037	ATAURI	01128
01037	AZAZETA	01128
01016	BERROZI	01128
01017	BUJANDA	01128
01016	DURRUMA KANPEZU	01128
01016	KINTANA	01128
01016	SAN ROMAN DE CAMPEZO	01128
01037	ALETXA	01129
01037	APELLANIZ	01129
01037	APINAIZ	01129
01037	AREATZA	01129
01037	ARENAZA	01129
01037	BIRGARA BARREN	01129
01037	BIRGARA GOIEN	01129
01037	CICUJANO	01129
01037	ELORTZA	01129
01037	ERROETA	01129
01037	ERROITEGI	01129
01037	IBISATE	01129
01037	KORRES	01129
01037	LEORZA	01129
01037	MUSITU	01129
01037	ONRAITA	01129
01037	ROITEGUI	01129
01037	SABANDO	01129
01037	VIRGALA MAYOR	01129
01037	VIRGALA MENOR	01129
01037	ZEKUIANO	01129
01063	MURGIA	01130
01063	ZUIA	01130
01018	ACOSTA	01138
01018	APODAKA	01138
01018	BERRIKANO	01138
01018	BURUAGA	01138
01018	ERIBE	01138
01018	ETXAGUEN (ZIGOITIA)	01138
01018	GOPEGI	01138
01018	LARRINOA	01138
01018	LETONA	01138
01018	MANURGA	01138
01018	MURUA	01138
01018	OKOIZTA	01138
01018	OLANO	01138
01018	ONDATEGI	01138
01018	ZAITEGI	01138
01018	ZESTAFE	01138
01018	ZIGOITIA	01138
01063	ALTUBE	01139
01063	AMETZAGA (ZUIA)	01139
01063	APERREGI	01139
01063	ARETXAGA	01139
01063	BITORIANO	01139
01063	DOMAIKIA	01139
01063	GILIERNA	01139
01063	GUILLERNA	01139
01063	JUGO	01139
01063	LUKIANO	01139
01063	MARKINA	01139
01063	SARRIA	01139
01063	ZARATE	01139
01003	IBARRA	01160
01003	OLAETA	01165
01003	ARAMAIO	01169
01003	AREXOLA	01169
01003	ARRIOLA (ARAMAIO)	01169
